"Fname","Minit","Lname","Ssn","Address","Birth_Date"
"Abigail","P","Martinez","139560278","753 Pine Rd","1990-08-10"
"Emma","J","Williams","170382659","246 Birch Rd","1995-11-05"
"Oliver","W","Hall","176920853","123 Main St.","1985-03-30"
"Ethan","I","Thomas","185906327","135 Elm St","1995-01-20"
"William","F","Miller","259148306","369 Maple Ave","1995-12-10"
"Jacob","O","Garcia","294810765","159 Oak Ave","1985-07-20"
"Bob","A","Johnson","360948517","789 Oak Ave","1990-07-20"
"Evelyn","X","Allen","385274916","753 Cedar Blvd","1990-04-15"
"Charlotte","N","Thompson","402715986","369 Cedar St","1980-06-12"
"Aurora","V","Walker","430975681","369 Oak Ave","1980-02-25"
"Isabella","J","Jackson","509738162","369 Oak Ave","1980-02-15"
"Eli","U","Lee","520964378","135 Elm Blvd","1995-01-10"
"Mason","M","Martin","583972104","135 Maple Blvd","1995-05-05"
"Harper","R","Clark","592716384","369 Oak St","1980-10-01"
"Liam","S","Rodriguez","610839745","159 Pine Ave","1985-11-05"
"Alexander","K","White","650431798","159 Pine St","1985-03-10"
"Ezra","Y","King","678901234","135 Elm St","1995-05-25"
"Sophia","L","Harris","724986351","753 Cedar Rd","1990-04-25"
"Aria","T","Lewis","731458923","753 Cedar Rd","1990-12-20"
"Ava","G","Wilson","741263598","159 Oak Rd","1985-05-01"
"Michael","B","Brown","785963412","135 Cedar Ln","1985-04-02"
"Amelia","Z","Wright","789012345","369 Oak Ave","1980-06-20"
"Olivia","H","Anderson","830571962","753 Cedar Blvd","1990-09-15"
"Jane","E","Doe","836521394","456 Elm St","1985-03-15"
"Noah","Q","Robinson","879324651","135 Cedar Blvd","1995-09-15"
"John","D","Smith","942915671","123 Main St","1980-01-01"
"Emily","C","Davis","963108257","678 Pine St","1990-08-19"
